,day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost,estimatedRevenue,estimatedAdRevenue,grossRevenue,estimatedRedPartnerRevenue,monetizedPlaybacks,playbackBasedCpm,adImpressions,cpm
83,2021-01-03,1202,77,10,24,0,8,7,3,3098,335,154,15.370000000000001,0,0,0,0,0,0,0,0.0,0.0,0,20,0,0,10,2,1.838,1.69,3.072,0.148,333,9.225,354,8.678
84,2021-01-04,1356,105,3,26,0,12,1,0,3413,239,151,15.64,0,0,0,0,0,0,0,0.0,0.0,0,31,0,0,8,0,1.576,1.507,2.741,0.068,349,7.854,360,7.614
85,2021-01-05,1300,62,12,24,1,24,5,7,3023,149,139,14.21,0,0,0,0,0,0,0,0.0,0.0,1,18,0,0,9,1,2.153,2.102,3.821,0.051,411,9.297,439,8.704
86,2021-01-06,1253,56,7,21,1,6,2,4,3043,127,145,14.249999999999998,0,0,0,0,0,0,0,0.0,0.0,0,22,0,0,7,2,1.316,1.275,2.318,0.041,323,7.176,328,7.067
87,2021-01-07,1302,48,6,24,0,12,7,6,2917,153,134,13.63,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,7,2,2.212,2.185,3.973,0.027,410,9.69,452,8.79
88,2021-01-08,1251,24,5,25,0,9,7,4,3333,44,159,15.55,0,0,0,0,0,0,0,0.0,0.0,0,19,0,0,7,1,2.394,2.384,4.334,0.011,327,13.254,350,12.383
89,2021-01-09,1257,56,7,15,1,12,9,0,2920,99,139,13.900000000000002,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,10,2,1.968,1.939,3.525,0.029,329,10.714,333,10.586
90,2021-01-10,1244,81,5,21,0,40,9,3,2715,122,130,12.42,0,0,0,0,0,0,0,0.0,0.023799999999999998,1,42,0,1,8,1,2.371,2.335,4.245,0.036,354,11.992,377,11.26
91,2021-01-11,1430,136,5,38,0,25,11,3,3647,423,153,15.160000000000002,0,0,0,0,0,0,0,0.0,0.0,0,48,0,0,13,1,4.006,3.819,6.944,0.187,471,14.743,499,13.916
92,2021-01-12,1306,71,2,21,1,9,2,2,2879,165,132,13.570000000000002,0,0,0,0,0,0,0,0.0,0.0,1,37,0,0,7,1,2.357,2.321,4.219,0.036,396,10.654,426,9.904
93,2021-01-13,1469,120,11,35,3,18,6,4,3103,361,126,12.11,0,0,0,0,0,0,0,0.0,0.0,1,23,0,0,3,2,2.252,2.144,3.898,0.108,418,9.325,436,8.94
94,2021-01-14,1620,105,13,41,-1,17,4,0,3864,440,143,5.43,0,0,0,0,0,0,0,0.0,0.0526,2,38,0,2,7,2,6.045,2.676,4.866,0.158,436,11.161,492,9.89
95,2021-01-15,1277,69,8,28,0,3,1,5,2921,243,137,11.5,0,0,0,0,0,0,0,0.0,0.0263,2,38,0,1,12,1,2.584,2.496,4.538,0.088,404,11.233,447,10.152
96,2021-01-16,1348,95,2,21,0,18,2,4,3255,317,144,13.65,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,15,0,3.547,3.456,6.283,0.091,395,15.906,409,15.362
97,2021-01-17,1322,89,1,18,0,7,3,2,3231,348,146,12.990000000000002,0,0,0,0,0,0,0,0.0,0.0227,1,44,0,1,6,1,3.351,3.169,5.762,0.182,346,16.653,369,15.615
98,2021-01-18,1374,72,6,16,1,12,4,4,2901,188,126,11.67,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,8,1,1.937,1.865,3.391,0.072,377,8.995,404,8.394
99,2021-01-19,1334,63,2,8,1,6,7,0,3261,91,146,13.5,0,0,0,0,0,0,0,0.0,0.12,3,25,0,3,10,2,2.155,2.122,3.859,0.032,381,10.129,401,9.623
100,2021-01-20,1253,94,4,27,0,17,2,2,2910,185,139,13.119999999999997,0,0,0,0,0,0,0,0.0,0.0,1,26,0,0,8,3,1.515,1.464,2.662,0.051,353,7.541,365,7.293
101,2021-01-21,1401,104,2,24,2,17,1,6,3464,265,148,9.68,0,0,0,0,0,0,0,0.0,0.0,1,38,0,0,11,3,3.14,1.663,3.024,0.097,374,8.086,390,7.754
102,2021-01-22,1208,76,2,25,0,17,4,3,2502,144,124,11.36,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,4,0,1.345,1.322,2.404,0.023,305,7.882,322,7.466
103,2021-01-23,1339,99,2,25,1,16,4,0,3176,152,142,13.74,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,4,1,2.119,2.071,3.764,0.048,400,9.41,425,8.856
104,2021-01-24,1579,80,9,26,3,20,6,3,4072,97,154,14.150000000000002,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,11,2,3.031,2.995,5.445,0.036,515,10.573,570,9.553
105,2021-01-25,1361,57,4,20,0,14,8,0,3187,213,140,14.41,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,8,0,1.788,1.723,3.132,0.066,381,8.22,400,7.83
106,2021-01-26,1475,74,8,26,1,18,5,4,3227,172,131,12.25,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,9,1,1.778,1.733,3.151,0.045,382,8.249,423,7.449
107,2021-01-27,1436,87,4,23,0,16,5,4,2944,101,123,12.18,0,0,0,0,0,0,0,0.0,0.0333,1,30,0,1,12,4,2.246,2.211,4.02,0.035,357,11.261,400,10.05
108,2021-01-28,1331,83,6,9,1,24,14,0,3281,337,147,12.85,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,7,0,1.857,1.723,3.132,0.135,328,9.549,351,8.923
109,2021-01-29,1437,97,85,43,0,13,4,8,3594,154,150,7.61,0,0,0,0,0,0,0,0.0,0.0,0,26,0,0,13,3,2.59,2.534,4.607,0.056,394,11.693,424,10.866
110,2021-01-30,1329,89,3,21,0,10,7,1,3398,258,153,13.459999999999999,0,0,0,0,0,0,0,0.0,0.0,0,29,0,0,9,0,1.768,1.675,3.045,0.093,357,8.529,400,7.613
111,2021-01-31,1490,139,5,25,1,16,5,2,3549,201,142,13.0,0,0,0,0,0,0,0,0.5,0.0435,2,23,1,1,11,1,1.537,1.492,2.713,0.045,302,8.983,319,8.505
112,2021-02-01,1380,102,6,22,0,10,4,5,2888,333,125,12.6,0,0,0,0,0,0,0,0.0,0.0,1,39,0,0,5,2,1.449,1.279,2.326,0.17,269,8.647,281,8.278
113,2021-02-02,1453,114,3,24,-1,15,5,1,3203,304,132,11.61,0,0,0,0,0,0,0,0.0,0.0,2,35,0,0,7,1,1.626,1.472,2.676,0.154,381,7.024,428,6.252
114,2021-02-03,1464,88,3,28,1,21,4,4,3153,257,129,11.37,0,0,0,0,0,0,0,0.0,0.030299999999999997,1,33,0,1,10,2,1.627,1.51,2.746,0.116,355,7.735,396,6.934
115,2021-02-04,1352,55,8,35,1,14,3,3,3502,97,155,11.27,0,0,0,0,0,0,0,0.0,0.0541,1,37,0,2,8,4,2.354,2.32,4.217,0.035,382,11.039,419,10.064
116,2021-02-05,1282,68,12,15,0,19,2,4,3098,125,145,14.01,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,7,0,2.669,2.636,4.792,0.033,344,13.93,369,12.986
117,2021-02-06,1314,67,0,21,0,9,4,9,3321,137,151,15.039999999999997,0,0,0,0,0,0,0,0.0,0.0667,2,30,0,2,5,2,2.21,2.168,3.942,0.042,391,10.082,435,9.062
118,2021-02-07,1241,80,3,17,0,11,2,12,2609,115,126,11.86,0,0,0,0,0,0,0,0.0,0.027000000000000003,1,37,0,1,8,2,1.877,1.834,3.334,0.044,318,10.484,373,8.938
119,2021-02-08,1391,132,3,10,1,12,2,5,2945,323,127,11.79,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,7,2,1.655,1.531,2.784,0.124,360,7.733,408,6.824
120,2021-02-09,1498,163,6,7,4,9,3,1,3760,362,150,14.11,0,0,0,0,0,0,0,0.0,0.0,0,35,0,0,3,0,2.821,2.675,4.864,0.145,433,11.233,481,10.112
121,2021-02-10,1390,67,2,19,1,17,4,0,3027,207,130,12.689999999999998,0,0,0,0,0,0,0,0.0,0.0,0,38,0,0,10,0,2.795,2.698,4.905,0.097,473,10.37,539,9.1
122,2021-02-11,1401,88,3,23,0,14,3,3,2846,154,121,11.27,0,0,0,0,0,0,0,0.0,0.0263,1,38,0,1,7,2,2.06,1.995,3.626,0.066,480,7.554,533,6.803
123,2021-02-12,1476,95,7,27,0,9,0,3,3373,262,137,12.39,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,5,1,2.586,2.475,4.5,0.111,499,9.018,603,7.463
124,2021-02-13,1361,71,2,24,1,12,2,0,3060,165,134,12.75,0,0,0,0,0,0,0,0.0,0.0,1,33,0,0,6,1,2.301,2.233,4.06,0.068,397,10.227,458,8.865
125,2021-02-14,1335,75,7,21,1,8,6,5,2421,221,108,10.24,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,7,1,2.083,1.991,3.62,0.092,401,9.027,447,8.098
126,2021-02-15,1376,88,3,12,2,8,1,0,2874,138,125,11.26,0,0,0,0,0,0,0,0.0,0.0,0,49,0,0,9,2,1.784,1.745,3.173,0.038,371,8.553,421,7.537
127,2021-02-16,1212,67,5,8,1,19,4,11,2080,102,102,9.71,0,0,0,0,0,0,0,0.0,0.0,0,30,0,0,3,1,1.7,1.656,3.011,0.044,340,8.856,397,7.584
128,2021-02-17,1523,70,7,38,0,38,6,2,2714,122,106,9.86,0,0,0,0,0,0,0,0.0,0.025,1,40,0,1,6,2,2.068,2.029,3.689,0.039,464,7.95,554,6.659
129,2021-02-18,1740,69,8,58,3,12,2,0,4048,279,139,5.75,0,0,0,0,0,0,0,0.0,0.0233,1,43,0,1,15,3,2.59,2.492,4.531,0.098,547,8.283,635,7.135
130,2021-02-19,1444,83,9,22,1,30,5,5,2850,217,118,10.11,0,0,0,0,0,0,0,0.0,0.04,2,25,0,1,8,2,1.85,1.779,3.234,0.071,356,9.084,421,7.682
131,2021-02-20,1346,106,8,18,3,12,3,0,2482,168,110,9.58,0,0,0,0,0,0,0,0.0,0.0,0,33,0,0,7,1,2.463,2.407,4.377,0.056,396,11.053,477,9.176
132,2021-02-21,1141,62,2,22,0,9,3,1,1948,62,102,9.62,0,0,0,0,0,0,0,0.3333,0.0513,3,39,1,2,10,1,1.625,1.6,2.909,0.025,296,9.828,358,8.126
133,2021-02-22,1392,63,12,19,0,8,3,6,3061,135,131,12.57,0,0,0,0,0,0,0,0.0,0.0294,1,34,0,1,9,7,2.321,2.276,4.137,0.045,441,9.381,530,7.806
134,2021-02-23,1299,82,5,25,0,41,10,2,2912,125,134,8.1,0,0,0,0,0,0,0,0.0,0.0,1,32,0,0,7,4,1.924,1.867,3.395,0.057,391,8.683,453,7.494
135,2021-02-24,1398,40,7,19,0,8,4,4,2798,57,120,11.64,0,0,0,0,0,0,0,0.0,0.023799999999999998,1,42,0,1,11,0,2.81,2.743,4.987,0.067,439,11.36,513,9.721
136,2021-02-25,1399,77,6,48,0,18,6,3,2850,169,122,5.82,0,0,0,0,0,0,0,0.0,0.0345,1,29,0,1,10,1,1.942,1.877,3.413,0.065,430,7.937,489,6.98
137,2021-02-26,1390,70,2,30,0,13,5,0,2766,136,119,11.02,0,0,0,0,0,0,0,0.0,0.0323,1,31,0,1,11,2,2.419,2.368,4.305,0.051,411,10.474,496,8.679
138,2021-02-27,1281,87,2,10,1,9,3,0,2690,95,126,12.67,0,0,0,0,0,0,0,0.0,0.08109999999999999,3,37,0,3,7,2,1.589,1.558,2.832,0.031,360,7.867,434,6.525
139,2021-02-28,1231,69,9,15,1,13,5,3,2825,194,137,13.98,0,0,0,0,0,0,0,0.0,0.023799999999999998,1,42,0,1,8,1,1.971,1.901,3.457,0.07,374,9.243,491,7.041
140,2021-03-01,1357,110,5,26,2,18,4,0,2603,130,115,10.22,0,0,0,0,0,0,0,0.0,0.07139999999999999,3,28,0,2,13,5,1.843,1.786,3.247,0.057,394,8.241,481,6.751
141,2021-03-02,1554,122,6,38,2,48,4,5,3134,151,121,7.86,0,0,0,0,0,0,0,0.0,0.0,0,36,0,0,15,6,2.587,2.532,4.603,0.055,515,8.938,602,7.646
142,2021-03-03,1406,86,6,28,1,26,17,4,2920,201,124,11.28,0,0,0,0,0,0,0,0.0,0.0286,1,35,0,1,9,2,2.305,2.243,4.077,0.062,424,9.616,485,8.406
143,2021-03-04,1407,68,2,36,0,18,6,1,3021,320,128,7.829999999999999,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,5,2,2.288,2.19,3.981,0.098,420,9.479,546,7.291
144,2021-03-05,1178,60,2,3,1,19,4,0,2379,171,121,11.03,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,5,3,2.301,2.252,4.094,0.049,305,13.423,362,11.309
145,2021-03-06,1234,77,2,19,3,18,12,56,2795,231,135,12.06,0,0,0,0,0,0,0,0.0,0.0,0,25,0,0,7,2,2.016,1.965,3.573,0.051,346,10.327,436,8.195
146,2021-03-07,1191,56,3,21,-1,22,4,19,2606,102,131,11.42,0,0,0,0,0,0,0,0.0,0.0,0,11,0,0,6,2,1.763,1.744,3.171,0.019,322,9.848,396,8.008
147,2021-03-08,1146,39,2,28,1,7,6,7,2755,62,144,12.7,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,7,0,1.898,1.885,3.426,0.014,376,9.112,473,7.243
148,2021-03-09,1369,98,2,27,0,16,8,14,2991,249,131,9.46,0,0,0,0,0,0,0,0.0,0.047599999999999996,1,21,0,1,12,2,1.978,1.856,3.375,0.122,389,8.676,471,7.166
149,2021-03-10,1072,51,3,26,1,10,3,7,2763,243,154,13.87,0,0,0,0,0,0,0,0.0,0.0,0,23,0,0,9,2,1.474,1.344,2.444,0.13,288,8.486,373,6.552
150,2021-03-11,1288,94,2,38,1,1,6,4,2828,218,131,13.11,0,0,0,0,0,0,0,0.0,0.04,1,25,0,1,6,0,1.798,1.749,3.18,0.049,335,9.493,431,7.378
151,2021-03-12,1424,111,5,45,0,25,3,65,3493,163,147,9.57,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,4,1,2.168,2.106,3.829,0.062,425,9.009,482,7.944
152,2021-03-13,1210,63,4,21,0,12,12,7,2400,121,119,10.46,0,0,0,0,0,0,0,0.0,0.0,1,25,0,0,7,0,1.758,1.695,3.081,0.063,333,9.252,404,7.626
153,2021-03-14,1108,50,3,21,0,8,4,1,2609,84,141,13.11,0,0,0,0,0,0,0,0.0,0.0,0,22,0,0,7,1,1.368,1.329,2.417,0.038,322,7.506,364,6.64
154,2021-03-15,1184,48,3,24,1,8,2,2,2428,143,123,10.94,0,0,0,0,0,0,0,0.0,0.0,0,21,0,0,4,1,1.561,1.504,2.734,0.057,350,7.811,448,6.103
155,2021-03-16,1258,77,1,17,0,13,16,1,2976,375,141,13.03,0,0,0,0,0,0,0,0.0,0.0,0,32,0,0,10,2,2.338,2.224,4.044,0.113,343,11.79,405,9.985
156,2021-03-17,1507,92,6,37,2,23,10,5,3351,335,133,12.12,0,0,0,0,0,0,0,0.0,0.0,0,37,0,0,4,3,2.477,2.354,4.28,0.123,493,8.682,614,6.971
157,2021-03-18,1202,83,1,47,1,43,2,2,2162,165,107,10.33,0,0,0,0,0,0,0,0.0,0.0,0,17,0,0,6,0,1.23,1.165,2.118,0.065,345,6.139,406,5.217
158,2021-03-19,1216,71,5,26,0,12,3,6,2367,195,116,11.04,0,0,0,0,0,0,0,0.5,0.0323,2,31,1,1,6,3,1.509,1.462,2.658,0.047,404,6.579,470,5.655
159,2021-03-20,1305,95,3,13,0,11,0,19,2279,134,104,9.84,0,0,0,0,0,0,0,0.0,0.0,0,34,0,0,8,0,1.972,1.936,3.52,0.036,267,13.184,330,10.667
160,2021-03-21,1205,58,2,11,0,22,8,6,2914,99,145,11.56,0,0,0,0,0,0,0,0.0,0.0,0,24,0,0,5,2,2.252,2.215,4.027,0.037,317,12.703,367,10.973
161,2021-03-22,1221,77,5,23,0,18,5,5,3013,122,148,13.239999999999998,0,0,0,0,0,0,0,1.0,0.0333,1,30,1,1,2,0,2.141,2.103,3.823,0.038,374,10.222,482,7.932
162,2021-03-23,1239,40,1,20,0,55,0,17,2212,86,107,10.56,0,0,0,0,0,0,0,0.0,0.11539999999999999,2,26,0,3,7,1,1.582,1.544,2.807,0.038,341,8.232,396,7.088
163,2021-03-24,1263,92,4,24,0,11,2,3,2936,273,139,12.34,0,0,0,0,0,0,0,0.0,0.0,0,42,0,0,6,1,1.654,1.582,2.875,0.073,291,9.88,381,7.546
164,2021-03-25,1319,78,6,25,1,14,2,5,2747,119,124,7.359999999999999,0,0,0,0,0,0,0,0.0,0.0132,2,76,0,1,5,1,1.628,1.586,2.913,0.042,375,7.768,486,5.994
165,2021-03-26,1518,75,3,13,0,38,0,0,3354,155,132,11.13,0,0,0,0,0,0,0,1.0,0.02,1,50,1,1,9,6,2.309,2.253,4.096,0.057,355,11.538,417,9.823
166,2021-03-27,1189,67,4,20,1,21,6,0,2455,134,123,9.06,0,0,0,0,0,0,0,0.0,0.0,0,61,0,0,7,1,2.237,2.196,3.992,0.041,379,10.533,483,8.265
167,2021-03-28,1187,57,3,25,1,17,8,4,2660,88,134,8.13,0,0,0,0,0,0,0,0.0,0.0385,3,52,0,2,1,2,1.774,1.74,3.163,0.034,340,9.303,399,7.927
168,2021-03-29,1234,74,4,21,2,10,5,2,2438,201,118,8.61,0,0,0,0,0,0,0,0.0,0.0278,1,36,0,1,8,1,1.635,1.565,2.846,0.07,320,8.894,378,7.529
169,2021-03-30,1341,86,6,26,2,14,2,7,2638,103,118,9.66,0,0,0,0,0,0,0,0.3333,0.0233,3,43,1,1,6,0,1.844,1.811,3.293,0.032,368,8.948,451,7.302
170,2021-03-31,1266,116,4,41,0,14,5,1,2942,228,139,10.23,0,0,0,0,0,0,0,0.0,0.0256,1,39,0,1,12,1,2.099,2.004,3.643,0.095,334,10.907,412,8.842
